Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
1,Jonathan Taylor*+\TaylJo02,IND,22,RB,17,17,332,1811,18,107,83,5.5,106.5,4
2,Najee Harris*\HarrNa00,PIT,23,RB,17,17,307,1200,7,62,37,3.9,70.6,0
3,Joe Mixon*\MixoJo00,CIN,25,RB,16,16,292,1205,13,60,32,4.1,75.3,2
4,Antonio Gibson\GibsAn00,WAS,23,RB,16,14,258,1037,7,65,27,4.0,64.8,6
5,Dalvin Cook*\CookDa01,MIN,26,RB,13,13,249,1159,6,57,66,4.7,89.2,3
6,Alvin Kamara*\KamaAl00,NOR,26,rb,13,10,240,898,4,42,30,3.7,69.1,0
7,Ezekiel Elliott\ElliEz00,DAL,26,RB,17,17,237,1002,10,55,47,4.2,58.9,1
8,Nick Chubb*\ChubNi00,CLE,26,RB,14,14,228,1259,8,61,70,5.5,89.9,2
9,David Montgomery\MontDa01,CHI,24,RB,13,13,225,849,7,55,41,3.8,65.3,1
10,Derrick Henry\HenrDe00,TEN,27,rb,8,8,219,937,10,49,76,4.3,117.1,1
11,Josh Jacobs\JacoJo01,LVR,23,RB,15,14,217,872,9,45,28,4.0,58.1,2
12,Sony Michel\MichSo00,LAR,26,rb,17,7,208,845,4,49,39,4.1,49.7,1
13,Elijah Mitchell\MitcEl00,SFO,23,rb,11,10,207,963,5,47,39,4.7,87.5,0
14,Austin Ekeler\EkelAu00,LAC,26,RB,16,16,206,911,12,53,28,4.4,56.9,4
15,Melvin Gordon\GordMe00,DEN,28,RB,16,16,203,918,8,48,70,4.5,57.4,3
16,Javonte Williams\WillJa10,DEN,21,rb,17,1,203,903,4,52,49,4.4,53.1,2
17,James Conner*\ConnJa00,ARI,26,rb,15,6,202,752,15,53,35,3.7,50.1,2
18,Damien Harris\HarrDa06,NWE,24,RB,15,15,202,929,15,55,64,4.6,61.9,2
19,Devin Singletary\SingDe00,BUF,24,RB,17,16,188,870,7,44,46,4.6,51.2,5
20,AJ Dillon\DillAJ00,GNB,23,rb,17,2,187,803,5,50,36,4.3,47.2,2
21,Leonard Fournette\FourLe00,TAM,26,RB,14,13,180,812,8,45,47,4.5,58.0,1
22,Myles Gaskin\GaskMy00,MIA,24,rb,17,10,173,612,3,25,30,3.5,36.0,2
23,Chuba Hubbard\HubbCh01,CAR,22,rb,17,10,172,612,5,36,26,3.6,36.0,1
24,Aaron Jones\JoneAa00,GNB,27,RB,15,15,171,799,4,37,57,4.7,53.3,2
25,James Robinson\RobiJa00,JAX,23,RB,14,13,164,767,8,41,58,4.7,54.8,4
26,Saquon Barkley\BarkSa00,NYG,24,RB,13,13,162,593,2,27,41,3.7,45.6,2
27,Mark Ingram\IngrMa01,2TM,32,,14,10,160,554,2,23,28,3.5,39.6,1
28,Cordarrelle Patterson\PattCo00,ATL,30,RB,16,13,153,618,6,29,39,4.0,38.6,2
29,Jamaal Williams\WillJa06,DET,26,RB,13,11,153,601,3,42,20,3.9,46.2,1
30,D'Andre Swift\SwifDA00,DET,22,rb,13,4,151,617,5,28,57,4.1,47.5,2
31,Darrell Henderson\HendDa00,LAR,24,rb,12,10,149,688,5,39,29,4.6,57.3,0
32,Michael Carter\CartMi03,NYJ,22,RB,14,11,147,639,4,29,55,4.3,45.6,1
33,Devontae Booker\BookDe00,NYG,29,,16,4,145,593,2,31,31,4.1,37.1,0
34,Darrel Williams\WillDa10,KAN,26,rb,17,7,144,558,6,40,21,3.9,32.8,0
35,Jalen Hurts\HurtJa00,PHI,23,QB,15,15,139,784,10,56,31,5.6,52.3,9
36,Mike Davis\DaviMi01,ATL,28,rb,17,8,138,503,3,21,18,3.6,29.6,4
37,Miles Sanders\SandMi01,PHI,24,RB,12,12,137,754,0,33,38,5.5,62.8,1
38,Alexander Mattison\MattAl01,MIN,23,rb,16,4,134,491,3,28,48,3.7,30.7,1
39,D'Onta Foreman\ForeDO00,TEN,25,rb,9,3,133,566,3,22,35,4.3,62.9,2
40,Devonta Freeman\FreeDe00,BAL,29,rb,16,8,133,576,5,31,32,4.3,36.0,0
41,Lamar Jackson*\JackLa00,BAL,24,QB,12,12,133,767,2,48,31,5.8,63.9,6
42,Rhamondre Stevenson\StevRh00,NWE,23,rb,12,2,133,606,5,33,21,4.6,50.5,2
43,Tony Pollard\PollTo00,DAL,24,,15,0,130,719,2,35,58,5.5,47.9,2
44,Josh Allen\AlleJo02,BUF,25,QB,17,17,122,763,6,54,34,6.3,44.9,8
45,Rex Burkhead\BurkRe00,HOU,31,rb,16,5,122,427,3,30,36,3.5,26.7,1
46,Clyde Edwards-Helaire\EdwaCl00,KAN,22,rb,10,10,119,517,4,21,17,4.3,51.7,2
47,Latavius Murray\MurrLa00,BAL,31,rb,14,6,119,501,6,36,46,4.2,35.8,0
48,Rashaad Penny\PennRa00,SEA,25,rb,10,6,119,749,6,28,62,6.3,74.9,0
49,Chase Edmonds\EdmoCh00,ARI,25,RB,12,11,116,592,2,32,54,5.1,49.3,1
50,Alex Collins\CollAl00,SEA,27,rb,11,6,108,411,2,22,25,3.8,37.4,1
51,Khalil Herbert\HerbKh00,CHI,23,rb,17,2,103,433,2,24,29,4.2,25.5,1
52,Ronald Jones II\JoneRo01,TAM,24,rb,16,3,101,428,4,25,30,4.2,26.8,2
53,D'Ernest Johnson\JohnDE04,CLE,25,rb,17,2,100,534,3,24,30,5.3,31.4,1
54,Christian McCaffrey\McCaCh01,CAR,25,rb,7,7,99,442,1,20,18,4.5,63.1,1
55,Zack Moss\MossZa00,BUF,24,,13,0,96,345,4,22,17,3.6,26.5,2
