Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
56,Phillip Lindsay\LindPh00,2TM,27,,14,1,88,249,1,11,35,2.8,17.8,0
57,Kyler Murray*\MurrKy00,ARI,24,QB,14,14,88,423,5,25,57,4.8,30.2,13
58,Boston Scott\ScotBo02,PHI,26,rb,16,4,87,373,7,24,23,4.3,23.3,1
59,Jordan Howard\HowaJo00,PHI,27,,7,0,86,406,3,24,25,4.7,58.0,0
60,Tevin Coleman\ColeTe01,NYJ,28,rb,11,5,84,356,0,19,20,4.2,32.4,0
61,Jeff Wilson\WilsJe01,SFO,26,rb,9,4,79,294,2,19,17,3.7,32.7,1
62,Kareem Hunt\HuntKa00,CLE,26,rb,8,1,78,386,5,22,33,4.9,48.3,0
63,Trevor Lawrence\LawrTr00,JAX,22,QB,17,17,73,334,2,22,26,4.6,19.6,9
64,Justin Fields\FielJu00,CHI,22,qb,12,10,72,420,2,22,23,5.8,35.0,12
65,Carlos Hyde\HydeCa00,JAX,31,,12,2,72,253,1,14,18,3.5,21.1,2
66,Duke Johnson\JohnDu00,MIA,28,rb,5,4,71,330,3,18,27,4.6,66.0,0
67,Taysom Hill\HillTa00,NOR,31,qb,12,9,70,374,5,26,44,5.3,31.2,2
68,Kenneth Gainwell\GainKe00,PHI,22,rb,16,1,68,291,5,19,18,4.3,18.2,2
69,Justin Jackson\JackJu01,LAC,25,rb,14,2,68,364,2,18,75,5.4,26.0,1
70,Jaret Patterson\PattJa01,WAS,22,rb,17,1,68,266,2,15,13,3.9,15.6,1
71,David Johnson\JohnDa08,HOU,30,rb,13,4,67,228,0,7,15,3.4,17.5,1
72,Patrick Mahomes*\MahoPa00,KAN,26,QB,17,17,66,381,2,25,32,5.8,22.4,9
73,Kenyan Drake\DrakKe00,LVR,27,rb,12,2,63,254,2,15,21,4.0,21.2,1
74,Justin Herbert*\HerbJu00,LAC,23,QB,17,17,63,302,3,28,36,4.8,17.8,1
75,Daniel Jones\JoneDa05,NYG,24,QB,11,11,62,298,2,16,46,4.8,27.1,7
76,Ty Johnson\JohnTy02,NYJ,24,rb,16,3,61,238,2,13,24,3.9,14.9,2
77,Taylor Heinicke\HeinTa00,WAS,28,QB,16,15,60,313,1,20,38,5.2,19.6,7
78,Deebo Samuel*+\SamuDe00,SFO,25,WR,16,15,59,365,8,21,49,6.2,22.8,4
79,Carson Wentz\WentCa00,IND,29,QB,17,17,57,215,1,21,18,3.8,12.6,8
80,Royce Freeman\FreeRo00,2TM,25,,15,0,56,169,0,8,13,3.0,11.3,0
81,Dontrell Hilliard\HillDo00,TEN,26,rb,8,5,56,350,2,15,68,6.3,43.8,2
82,Nyheim Hines\HineNy00,IND,25,rb,17,4,56,276,2,15,34,4.9,16.2,3
83,Peyton Barber\BarbPe01,LVR,27,rb,10,1,55,212,2,12,27,3.9,21.2,2
84,Samaje Perine\PeriSa00,CIN,26,,16,0,55,246,1,11,46,4.5,15.4,0
85,Craig Reynolds\ReynCr00,DET,25,,5,2,55,230,0,11,35,4.2,46.0,0
86,Ryan Tannehill\TannRy00,TEN,33,QB,17,17,55,270,7,33,28,4.9,15.9,10
87,Salvon Ahmed\AhmeSa01,MIA,23,,12,0,54,149,0,8,16,2.8,12.4,0
88,Chris Carson\CarsCh00,SEA,27,rb,4,4,54,232,3,11,33,4.3,58.0,1
89,Tony Jones\JoneTo04,NOR,24,rb,11,4,54,142,0,7,11,2.6,12.9,0
90,Ameer Abdullah\AbduAm00,2TM,28,,17,1,51,166,0,8,15,3.3,9.8,0
91,Derrick Gore\GoreDe00,KAN,27,,11,0,51,256,2,12,51,5.0,23.3,0
92,Sam Darnold\DarnSa00,CAR,24,QB,12,11,48,222,5,20,30,4.6,18.5,9
93,J.D. McKissic\McKiJ.00,WAS,28,rb,11,3,48,212,2,14,15,4.4,19.3,0
94,Dak Prescott\PresDa01,DAL,28,QB,16,16,48,146,1,7,21,3.0,9.1,14
95,Tyler Huntley\HuntTy01,BAL,23,qb,7,4,47,294,2,22,21,6.3,42.0,4
96,Cam Newton\NewtCa00,CAR,32,qb,8,5,47,230,5,20,33,4.9,28.8,4
97,Brandon Bolden\BoldBr00,NWE,31,rb,17,1,44,226,1,12,24,5.1,13.3,1
98,Mac Jones*\JoneMa05,NWE,23,QB,17,17,44,129,0,22,13,2.9,7.6,7
99,Dare Ogunbowale\OgunDa00,JAX,27,rb,17,2,43,137,1,5,12,3.2,8.1,0
100,Russell Wilson*\WilsRu00,SEA,33,QB,14,14,43,183,2,17,17,4.3,13.1,6
101,Tua Tagovailoa\TagoTu00,MIA,23,QB,13,12,42,128,3,13,23,3.0,9.8,9
102,Jeremy McNichols\McNiJe00,TEN,26,,14,0,41,156,0,6,14,3.8,11.1,0
103,Trey Sermon\SermTr00,SFO,22,rb,9,2,41,167,1,9,16,4.1,18.6,0
104,Joe Burrow\BurrJo01,CIN,25,QB,16,16,40,118,2,14,12,3.0,7.4,5
105,Derek Carr\CarrDe02,LVR,30,QB,17,17,40,108,0,9,22,2.7,6.4,13
106,Matt Ryan\RyanMa00,ATL,36,QB,17,17,40,82,1,9,17,2.1,4.8,11
107,Damien Williams\WillDa05,CHI,29,rb,12,2,40,164,2,11,23,4.1,13.7,0
108,Le'Veon Bell\BellLe00,2TM,29,,8,0,39,101,2,9,12,2.6,12.6,0
109,Jimmy Garoppolo\GaroJi00,SFO,30,QB,15,15,38,51,3,15,7,1.3,3.4,8
110,Trey Lance\LancTr00,SFO,21,qb,6,2,38,168,1,8,15,4.4,28.0,0
111,Adrian Peterson\PeteAd01,2TM,36,,4,3,38,98,2,6,16,2.6,24.5,1
112,Baker Mayfield\MayfBa00,CLE,26,QB,14,14,37,134,1,12,14,3.6,9.6,6
113,Larry Rountree\RounLa00,LAC,22,,12,0,36,87,1,5,13,2.4,7.3,0
114,Benny Snell Jr.\SnelBe00,PIT,23,,17,0,36,98,0,3,9,2.7,5.8,0
115,Ke'Shawn Vaughn\VaugKe00,TAM,24,rb,12,1,36,180,2,9,55,5.0,15.0,0
116,Ty'Son Williams\WillTy01,BAL,25,rb,13,3,35,185,1,7,35,5.3,14.2,1
117,Eno Benjamin\BenjEn00,ARI,22,,9,0,34,118,1,4,21,3.5,13.1,0
118,Malcolm Brown\BrowMa03,MIA,28,rb,7,3,33,125,1,6,24,3.8,17.9,0
119,Corey Clement\ClemCo00,DAL,27,,17,0,33,140,0,7,38,4.2,8.2,0
120,DeeJay Dallas\DallDe00,SEA,23,,17,0,33,138,2,10,15,4.2,8.1,1
121,Joshua Kelley\KellJo01,LAC,24,,10,0,33,102,0,5,14,3.1,10.2,1
122,Aaron Rodgers*+\RodgAa00,GNB,38,QB,16,16,33,101,3,10,18,3.1,6.3,3
123,Matthew Stafford\StafMa00,LAR,33,QB,17,17,32,43,0,8,12,1.3,2.5,5
124,Jameis Winston\WinsJa00,NOR,27,qb,7,7,32,166,1,17,20,5.2,23.7,2
125,Teddy Bridgewater\BridTe00,DEN,29,QB,14,14,30,106,2,16,13,3.5,7.6,1
126,Kirk Cousins*\CousKi00,MIN,33,QB,16,16,29,115,1,8,29,4.0,7.2,12
127,Zach Wilson\WilsZa00,NYJ,22,QB,13,13,29,185,4,10,52,6.4,14.2,5
128,Tom Brady*\BradTo00,TAM,44,QB,17,17,28,81,2,14,13,2.9,4.8,4
129,Wayne Gallman\GallWa00,2TM,27,,8,0,28,104,0,5,17,3.7,13.0,0
130,Marlon Mack\MackMa00,IND,25,,6,0,28,101,0,6,22,3.6,16.8,0
131,Matt Breida\BreiMa00,BUF,26,,9,0,26,125,1,5,28,4.8,13.9,1
132,Austin Walter\WaltAu00,NYJ,25,,4,0,26,101,1,5,14,3.9,25.3,0
133,Elijhaa Penny\PennEl00,NYG,28,rb,17,3,24,99,1,9,12,4.1,5.8,0
134,Patrick Taylor\TaylPa01,GNB,23,,9,0,23,89,1,5,12,3.9,9.9,0
135,Colt McCoy\McCoCo00,ARI,35,qb,8,3,22,37,0,6,11,1.7,4.6,4
136,Travis Homer\HomeTr00,SEA,23,,14,0,21,177,1,7,73,8.4,12.6,0
137,Qadree Ollison\OlliQa00,ATL,25,,8,0,21,105,1,7,19,5.0,13.1,1
138,Ben Roethlisberger\RoetBe00,PIT,39,,16,16,20,5,1,3,8,0.3,0.3,11
139,Jacoby Brissett\BrisJa00,MIA,29,qb,11,5,19,70,1,9,19,3.7,6.4,6
140,J.J. Taylor\TaylJJ01,NWE,23,,5,0,19,37,2,3,15,1.9,7.4,1
141,Tyrod Taylor\TaylTy00,HOU,32,qb,6,6,19,151,3,6,30,7.9,25.2,3
142,Godwin Igwebuike\IgweGo00,DET,27,rb,17,1,18,118,1,7,42,6.6,6.9,2
143,Davis Mills\MillDa02,HOU,23,QB,13,11,18,44,0,5,11,2.4,3.4,5
144,Rondale Moore\MoorRo02,ARI,21,wr,14,7,18,76,0,2,26,4.2,5.4,3
145,Chris Evans\EvanCh02,CIN,24,rb,14,1,17,77,0,3,13,4.5,5.5,0
146,Jared Goff\GoffJa00,DET,27,QB,14,14,17,87,0,4,26,5.1,6.2,9
147,Jonathan Williams\WillJo07,WAS,27,,5,0,17,79,1,7,23,4.6,15.8,0
148,Andy Dalton\DaltAn00,CHI,34,qb,8,6,16,76,0,2,14,4.8,9.5,1
149,Jamycal Hasty\HastJa02,SFO,25,,11,0,16,68,1,6,21,4.3,6.2,2
150,Ryquell Armstead\ArmsRy00,JAX,25,,2,0,15,80,0,3,26,5.3,40.0,0
151,Jermar Jefferson\JeffJe00,DET,21,,7,0,15,74,2,4,28,4.9,10.6,0
152,Ty Montgomery\MontTy01,NOR,28,wr,14,3,15,44,0,2,9,2.9,3.1,0
153,Trayveon Williams\WillTr06,CIN,24,,5,0,15,51,0,4,10,3.4,10.2,0
154,Chase Claypool\ClayCh01,PIT,23,WR,15,13,14,96,0,7,25,6.9,6.4,0
155,Jason Huntley\HuntJa01,PHI,23,,1,0,13,51,0,2,18,3.9,51.0,0
156,Deon Jackson\JackDe02,IND,22,,9,0,13,31,1,2,10,2.4,3.4,0
157,Marcus Mariota\MariMa01,LVR,28,,10,0,13,87,1,6,31,6.7,8.7,1
158,Kene Nwangwu\NwanKe00,MIN,23,,11,0,13,61,0,3,19,4.7,5.5,0
159,Mitchell Trubisky\TrubMi00,BUF,27,,6,0,13,24,1,3,22,1.8,4.0,0
160,Kalen Ballage\BallKa00,PIT,26,,17,0,12,36,0,2,13,3.0,2.1,0
161,Kendrick Bourne\BourKe00,NWE,26,wr,17,5,12,125,0,7,18,10.4,7.4,1
162,Case Keenum\KeenCa00,CLE,33,qb,7,2,12,22,0,6,10,1.8,3.1,1
163,Jordan Love\LoveJo03,GNB,23,qb,6,1,12,27,0,1,10,2.3,4.5,3
164,Jerick McKinnon\McKiJe00,KAN,29,,13,0,12,62,0,2,18,5.2,4.8,0
165,Brian Hoyer\HoyeBr00,NWE,36,,5,0,11,-8,0,1,2,-0.7,-1.6,0
166,Laviska Shenault Jr.\ShenLa00,JAX,23,wr,16,10,11,41,0,2,11,3.7,2.6,1
167,DeAndre Carter\CartDe02,WAS,28,wr,17,6,10,89,0,4,27,8.9,5.2,3
168,Kylin Hill\HillKy00,GNB,23,,8,0,10,24,0,1,8,2.4,3.0,0
169,Drew Lock\LockDr00,DEN,25,qb,6,3,10,53,2,5,23,5.3,8.8,2
170,Jalen Reagor\ReagJa00,PHI,22,WR,17,13,10,32,0,3,12,3.2,1.9,2
171,James White\WhitJa02,NWE,29,,3,0,10,38,1,4,10,3.8,12.7,0
172,Blaine Gabbert\GabbBl00,TAM,32,,6,0,9,-7,0,0,0,-0.8,-1.2,0
173,Tyreek Hill*\HillTy00,KAN,27,WR,17,16,9,96,0,4,33,10.7,5.6,2
174,Josh Johnson\JohnJo05,2TM,35,,4,1,9,28,0,1,11,3.1,7.0,2
175,CeeDee Lamb*\LambCe00,DAL,22,WR,16,13,9,76,0,4,33,8.4,4.8,0
176,Isaiah McKenzie\McKeIs00,BUF,26,wr,15,2,9,47,1,4,10,5.2,3.1,2
177,Gardner Minshew II\MinsGa00,PHI,25,qb,4,2,9,21,0,2,9,2.3,5.3,1
178,Jalen Richard\RichJa01,LVR,28,,10,0,9,40,0,3,23,4.4,4.0,0
179,Cooper Rush\RushCo00,DAL,28,qb,5,1,9,-8,0,0,2,-0.9,-1.6,1
180,Trevor Siemian\SiemTr00,NOR,30,qb,6,4,9,20,1,2,17,2.2,3.3,3
181,Geno Smith\SmitGe00,SEA,31,qb,4,3,9,42,1,3,12,4.7,10.5,1
182,Jonnu Smith\SmitJo01,NWE,26,TE,16,11,9,40,0,2,9,4.4,2.5,1
183,Keith Smith\SmitKe03,ATL,29,fb,17,8,9,31,0,3,8,3.4,1.8,0
184,Jonathan Ward\WardJo00,ARI,24,,13,0,9,33,0,3,7,3.7,2.5,0
185,Giovani Bernard\BernGi00,TAM,30,,12,0,8,58,0,3,24,7.3,4.8,1
186,Michael Burton\BurtMi00,KAN,29,,16,0,8,26,1,8,7,3.3,1.6,0
187,Jake Fromm\FromJa00,NYG,23,qb,3,2,8,65,0,4,27,8.1,21.7,2
188,Mecole Hardman\HardMe00,KAN,23,wr,17,8,8,46,0,2,24,5.8,2.7,3
189,Chad Henne\HennCh01,KAN,36,,4,0,8,0,0,0,4,0.0,0.0,2
190,Kyle Juszczyk*\JuszKy00,SFO,30,FB,17,16,8,22,1,3,6,2.8,1.3,0
191,D.J. Moore\MoorD.00,CAR,24,WR,17,17,8,48,0,4,14,6.0,2.8,1
192,La'Mical Perine\PeriLa00,NYJ,23,,4,0,8,31,0,1,14,3.9,7.8,0
193,Robert Woods\WoodRo02,LAR,29,wr,9,9,8,46,1,1,16,5.8,5.1,0
194,Jamal Agnew\AgneJa00,JAX,26,wr,10,2,7,111,1,3,66,15.9,11.1,1
195,Brandon Allen\AlleBr00,CIN,29,qb,6,1,7,-1,0,1,3,-0.1,-0.2,1
196,Braxton Berrios+\BerrBr00,NYJ,26,wr,16,1,7,40,2,3,11,5.7,2.5,1
197,Ja'Marr Chase*\ChasJa00,CIN,21,WR,17,17,7,21,0,2,10,3.0,1.2,2
198,Devin Duvernay*+\DuveDe00,BAL,24,wr,16,7,7,50,0,4,19,7.1,3.1,1
199,Demetric Felton\FeltDe00,CLE,23,rb,16,2,7,24,0,0,12,3.4,1.5,4
200,Mike Glennon\GlenMi00,NYG,32,qb,6,4,7,33,1,2,13,4.7,5.5,6
201,Jalen Guyton\GuytJa01,LAC,24,wr,16,2,7,34,0,2,21,4.9,2.1,1
202,C.J. Ham\HamxC.00,MIN,28,fb,17,8,7,34,0,3,30,4.9,2.0,0
203,Amon-Ra St. Brown\StxxAm00,DET,22,wr,17,9,7,61,1,2,26,8.7,3.6,0
204,P.J. Walker\WalkPh00,CAR,26,qb,5,1,7,13,0,2,13,1.9,2.6,3
205,Justin Jefferson*\JeffJu00,MIN,22,WR,17,17,6,14,0,1,11,2.3,0.8,1
206,Jarvis Landry\LandJa00,CLE,29,,12,12,6,40,2,4,16,6.7,3.3,3
207,Darnell Mooney\MoonDa00,CHI,24,WR,17,14,6,32,1,2,15,5.3,1.9,0
208,Scottie Phillips\PhilSc01,HOU,24,,3,0,6,13,0,1,4,2.2,4.3,0
209,Anthony Schwartz\SchwAn00,CLE,21,wr,14,2,6,39,0,4,17,6.5,2.8,0
210,Logan Woodside\WoodLo00,TEN,26,,5,0,6,-6,0,0,-1,-1.0,-1.2,0
211,Brandon Aiyuk\AiyuBr00,SFO,23,WR,17,16,5,17,0,0,8,3.4,1.0,2
212,Cam Akers\AkerCa00,LAR,22,,1,0,5,3,0,0,2,0.6,3.0,0
213,Alex Armah\ArmaAl00,2TM,27,,11,2,5,21,0,4,9,4.2,1.9,0
214,Jakeem Grant*\GranJa00,2TM,29,,15,0,5,33,0,2,13,6.6,2.2,3
215,Deonte Harris\HarrDe07,NOR,24,wr,13,1,5,41,0,1,22,8.2,3.2,2
216,Buddy Howell\HoweGr00,LAR,25,,10,0,5,11,0,0,4,2.2,1.1,0
217,Diontae Johnson*\JohnDi01,PIT,25,WR,16,14,5,53,0,2,25,10.6,3.3,2
218,Elijah Moore\MoorEl00,NYJ,21,wr,11,6,5,54,1,3,19,10.8,4.9,0
219,Michael Pittman Jr.\PittMi01,IND,24,WR,17,17,5,44,0,1,25,8.8,2.6,1
220,Mason Rudolph\RudoMa00,PIT,26,qb,2,1,5,53,0,3,26,10.6,26.5,1
221,Jaylen Samuels\SamuJa00,HOU,25,,3,0,5,9,0,0,3,1.8,3.0,0
222,Mekhi Sargent\SargMe00,3TM,24,,7,0,5,11,0,1,3,2.2,1.6,0
223,Wendell Smallwood\SmalWe00,WAS,27,,3,0,5,25,0,2,13,5.0,8.3,0
224,Freddie Swain\SwaiFr00,SEA,23,wr,17,8,5,32,0,2,11,6.4,1.9,1
225,Mike White\WhitMi01,NYJ,26,qb,4,3,5,-1,0,2,2,-0.2,-0.3,0
226,Kenjon Barner\BarnKe00,TAM,32,,3,0,4,0,0,0,1,0.0,0.0,0
227,Blake Bell\BellBl00,KAN,30,te,16,5,4,10,0,4,3,2.5,0.6,0
228,Mike Boone\BoonMi00,DEN,26,,8,0,4,35,0,2,16,8.8,4.4,0
229,D'Wayne Eskridge\EskrDW00,SEA,24,,10,0,4,59,0,2,30,14.8,5.9,0
230,Nick Foles\FoleNi00,CHI,32,qb,1,1,4,8,0,1,8,2.0,8.0,1
231,Chris Godwin\GodwCh00,TAM,25,WR,14,14,4,21,1,4,9,5.3,1.5,2
232,JaQuan Hardy\HardJa01,DAL,24,,3,0,4,29,1,1,22,7.3,9.7,0
233,Cooper Kupp*+\KuppCo00,LAR,28,WR,17,17,4,18,0,1,18,4.5,1.1,0
234,Kalif Raymond\RaymKa00,DET,27,WR,16,14,4,28,0,2,13,7.0,1.8,0
235,Curtis Samuel\SamuCu00,WAS,25,wr,5,1,4,11,0,0,8,2.8,2.2,0
236,Dwayne Washington\WashDw00,NOR,27,,14,0,4,16,0,0,5,4.0,1.1,0
237,Albert Wilson\WilsAl02,MIA,29,wr,14,5,4,17,0,1,14,4.3,1.2,0
238,Nelson Agholor\AghoNe00,NWE,28,WR,15,13,3,11,0,0,6,3.7,0.7,0
239,Robby Anderson\AndeRo04,CAR,28,WR,17,16,3,36,0,1,30,12.0,2.1,0
240,Tavon Austin\AustTa00,JAX,31,wr,13,3,3,21,0,1,8,7.0,1.6,1
241,Khari Blasingame\BlasKh00,TEN,25,fb,11,3,3,6,0,1,3,2.0,0.5,1
242,Ian Book\BookIa00,NOR,23,qb,1,1,3,6,0,1,3,2.0,6.0,0
243,Jason Cabinda\CabiJa00,DET,25,fb,14,4,3,23,0,2,21,7.7,1.6,0
244,Trenton Cannon\CannTr00,2TM,27,,12,0,3,4,0,0,3,1.3,0.3,1
245,Damarea Crockett\CrocDa01,DEN,24,,12,0,3,7,0,0,6,2.3,0.6,0
246,Ashton Dulin\DuliAs00,IND,24,wr,17,1,3,32,0,1,37,10.7,1.9,0
247,Sam Ehlinger\EhliSa00,IND,23,,3,0,3,9,0,1,9,3.0,3.0,0
248,Gerald Everett\EverGe00,SEA,27,,15,12,3,20,0,2,13,6.7,1.3,2
249,Feleipe Franks\FranFe00,ATL,24,,9,0,3,6,0,0,4,2.0,0.7,0
250,Reggie Gilliam\GillRe00,BUF,24,fb,16,5,3,3,0,0,2,1.0,0.2,0
251,George Kittle*\KittGe00,SFO,28,TE,14,14,3,20,0,0,9,6.7,1.4,2
252,Allen Lazard\LazaAl00,GNB,26,WR,15,13,3,32,0,2,14,10.7,2.1,0
253,Anthony McFarland Jr.\McFaAn00,PIT,22,,2,0,3,3,0,0,3,1.0,1.5,0
254,Gabe Nabers\NabeGa00,LAC,24,fb,10,1,3,8,0,1,4,2.7,0.8,0
255,Adam Prentice\PrenAd00,NOR,24,fb,7,3,3,5,0,2,2,1.7,0.7,0
256,Hunter Renfrow*\RenfHu00,LVR,26,wr,17,9,3,3,0,0,5,1.0,0.2,5
257,Andre Roberts\RobeAn00,2TM,33,,16,0,3,19,0,0,9,6.3,1.2,3
258,Henry Ruggs III\RuggHe00,LVR,22,,7,7,3,16,0,0,7,5.3,2.3,0
259,JuJu Smith-Schuster\SmitJu00,PIT,25,,5,5,3,9,1,1,3,3.0,1.8,0
260,Equanimeous St. Brown\St.BEq00,GNB,25,wr,13,2,3,14,0,2,13,4.7,1.1,0
261,Johnny Stanton\StanJo02,CLE,27,,4,0,3,5,0,2,3,1.7,1.3,0
262,Chris Streveler\StreCh00,ARI,26,,2,0,3,6,0,0,4,2.0,3.0,1
263,Kadarius Toney\ToneKa00,NYG,22,wr,10,4,3,6,0,0,7,2.0,0.6,0
264,Tommy Tremble\TremTo00,CAR,21,TE,16,11,3,11,1,1,7,3.7,0.7,0
265,Kyle Allen\AlleKy00,WAS,25,,2,0,2,11,0,1,11,5.5,5.5,1
266,Cameron Batson\BatsCa00,TEN,26,,4,0,2,15,0,1,11,7.5,3.8,0
267,Odell Beckham Jr.\BeckOd00,2TM,29,,14,13,2,14,0,1,10,7.0,1.0,0
268,Kurt Benkert\BenkKu01,GNB,26,,1,0,2,-1,0,0,0,-0.5,-1.0,0
269,Tyler Boyd\BoydTy00,CIN,27,wr,16,10,2,22,0,1,14,11.0,1.4,1
270,Tim Boyle\BoylTi00,DET,27,qb,5,3,2,13,0,1,14,6.5,2.6,1
271,A.J. Brown\BrowAJ00,TEN,24,WR,13,13,2,10,0,1,7,5.0,0.8,0
272,Brandin Cooks\CookBr00,HOU,28,WR,16,16,2,21,0,1,16,10.5,1.3,0
273,Chase Daniel\DaniCh00,LAC,35,,1,0,2,-2,0,0,-1,-1.0,-2.0,0
274,Darrynton Evans\EvanDa02,TEN,23,,1,0,2,7,0,0,5,3.5,7.0,0
275,Joe Flacco\FlacJo00,NYJ,36,qb,2,1,2,3,0,1,2,1.5,1.5,1
276,Jake Funk\FunkJa00,LAR,23,,10,0,2,5,0,0,6,2.5,0.5,0
277,Marquise Goodwin\GoodMa00,CHI,31,wr,14,2,2,-1,0,0,1,-0.5,-0.1,1
