Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
409,Rico Gafford\GaffRi00,OAK,23,,4,1,2,2,100.0%,66,33.0,1,2,49,33.0,0.5,16.5,0
410,Wes Hills\HillWe00,DET,24,,1,1,2,2,100.0%,1,0.5,0,0,2,0.5,2.0,1.0,0
411,Alexander Hollins\HollAl00,MIN,23,,5,1,4,2,50.0%,46,23.0,0,2,35,11.5,0.4,9.2,0
412,Cody Hollister\HollCo00,TEN,26,,5,0,2,2,100.0%,13,6.5,0,0,11,6.5,0.4,2.6,0
413,Tanner Hudson\HudsTa00,TAM,25,,9,1,5,2,40.0%,26,13.0,0,1,14,5.2,0.2,2.9,0
414,Ishmael Hyman\HymaIs00,TAM,24,,2,1,4,2,50.0%,34,17.0,0,2,31,8.5,1.0,17.0,0
415,Darius Jennings\JennDa00,TEN,27,,8,0,5,2,40.0%,17,8.5,0,2,11,3.4,0.3,2.1,0
416,T.J. Logan\LogaT.00,TAM,25,,12,0,3,2,66.7%,13,6.5,0,1,11,4.3,0.2,1.1,0
417,Steven Mitchell\MitcSt02,HOU,25,,3,1,6,2,33.3%,37,18.5,0,2,21,6.2,0.7,12.3,0
418,Jason Moore\MoorJa02,LAC,24,,10,0,5,2,40.0%,43,21.5,0,2,32,8.6,0.2,4.3,0
419,Isaac Nauta\NautIs00,DET,22,,6,0,3,2,66.7%,13,6.5,0,1,10,4.3,0.3,2.2,0
420,Roosevelt Nix\NixxRo01,PIT,27,,3,0,3,2,66.7%,4,2.0,0,0,4,1.3,0.7,1.3,0
421,Gunner Olszewski\OlszGu00,NWE,23,,8,0,4,2,50.0%,34,17.0,0,1,29,8.5,0.3,4.3,1
422,Elijhaa Penny\PennEl00,NYG,26,,16,1,4,2,50.0%,9,4.5,0,0,9,2.3,0.1,0.6,0
423,Troymaine Pope\PopeTr00,LAC,26,,14,0,3,2,66.7%,14,7.0,1,1,13,4.7,0.1,1.0,1
424,Eric Saubert\SaubEr00,CHI,25,,2,0,3,2,66.7%,21,10.5,0,1,11,7.0,1.0,10.5,0
425,Da'Mari Scott\ScotDa02,NYG,24,,5,2,3,2,66.7%,22,11.0,0,2,11,7.3,0.4,4.4,0
426,Anthony Sherman\SherAn00,KAN,31,,16,0,3,2,66.7%,22,11.0,0,2,15,7.3,0.1,1.4,0
427,Scott Simonson\SimoSc00,NYG,27,/te,5,1,2,2,100.0%,11,5.5,0,1,10,5.5,0.4,2.2,0
428,Cam Sims\SimsCa00,WAS,23,,7,1,3,2,66.7%,27,13.5,0,1,15,9.0,0.3,3.9,0
429,Mike Thomas\ThomMi04,LAR,25,,16,0,5,2,40.0%,14,7.0,0,1,9,2.8,0.1,0.9,0
430,Levine Toilolo\ToilLe00,SFO,28,,13,0,2,2,100.0%,10,5.0,0,0,8,5.0,0.2,0.8,0
431,Michael Walker\WalkMi00,JAX,23,,7,0,3,2,66.7%,15,7.5,0,1,9,5.0,0.3,2.1,2
432,Trevon Wesco\WescTr00,NYJ,24,,16,1,3,2,66.7%,47,23.5,0,2,32,15.7,0.1,2.9,0
433,Zach Zenner\ZennZa00,3TM,28,,5,0,3,2,66.7%,19,9.5,0,2,13,6.3,0.4,3.8,0
434,Jamal Agnew\AgneJa00,DET,24,,13,0,2,1,50.0%,-2,-2.0,0,0,-2,-1.0,0.1,-0.2,1
435,Javorius Allen\AlleJa01,NYG,28,,10,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.9,0
436,Antony Auclair\AuclAn00,TAM,26,te,8,5,3,1,33.3%,11,11.0,0,1,11,3.7,0.1,1.4,0
437,David Blough\BlouDa00,DET,24,qb,5,5,1,1,100.0%,19,19.0,1,1,19,19.0,0.2,3.8,1
438,Garrett Bradbury\BradGa00,MIN,24,C,16,16,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,0
439,Jacoby Brissett\BrisJa00,IND,27,QB,15,15,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.1,7
440,Ventell Bryant\BryaVe00,DAL,23,,12,0,1,1,100.0%,15,15.0,1,1,15,15.0,0.1,1.3,0
441,Kevin Byard\ByarKe01,TEN,26,FS,16,16,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,0.7,0
442,Austin Carr\CarrAu00,NOR,26,,6,3,4,1,25.0%,9,9.0,0,1,9,2.3,0.2,1.5,0
443,Sean Culkin\CulkSe00,LAC,26,,4,2,2,1,50.0%,12,12.0,0,1,12,6.0,0.3,3.0,0
444,Andy Dalton\DaltAn00,CIN,32,QB,13,13,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,8
445,Darrell Daniels\DaniDa02,ARI,25,,11,0,3,1,33.3%,4,4.0,0,1,4,1.3,0.1,0.4,0
