Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Jordyn Brooks\BrooJo01,SEA,24,LB,17,17,0,0,0,0,5,0,0,1,5,0,1.0,184,109,75,10,3,
2,C.J. Mosley\MoslC.00,NYJ,29,LB,16,16,0,0,0,0,2,2,0,0,0,0,2.0,168,103,65,2,3,
3,De'Vondre Campbell+\CampDe00,GNB,28,LB,16,16,2,15,0,13,5,2,0,1,3,0,2.0,146,102,44,6,6,
4,Foyesade Oluokun\OluoFo00,ATL,26,MLB,17,17,3,80,0,56,6,1,0,0,0,0,2.0,192,102,90,4,7,
5,Denzel Perryman*\PerrDe00,LVR,29,LB,15,15,0,0,0,0,3,1,0,2,1,0,0.0,154,102,52,5,3,
6,Roquan Smith\SmitRo07,CHI,24,LB,17,17,1,53,1,53,3,,,,,,3.0,163,95,68,12,4,
7,Bobby Wagner*\WagnBo00,SEA,31,,16,16,1,3,0,3,5,1,0,0,0,0,1.0,170,93,77,3,3,
8,Kyzir White\WhitKy00,LAC,25,LB,17,17,2,22,0,22,3,2,0,0,0,0,1.0,144,90,54,7,4,
9,Bobby Okereke\OkerBo00,IND,25,LB,17,17,2,20,0,16,4,,,,,,1.0,132,89,43,3,2,
10,Deion Jones\JoneDe01,ATL,27,MLB,16,16,0,0,0,0,6,1,0,0,0,0,2.0,137,87,50,8,4,
11,Devin White*\WhitDe02,TAM,23,LB,17,17,0,0,0,0,3,0,0,1,5,0,3.5,128,87,41,8,18,
12,Minkah Fitzpatrick\FitzMi00,PIT,25,S,16,16,2,18,0,18,7,1,0,1,-1,0,0.0,124,84,40,1,0,
13,Cole Holcomb\HolcCo00,WAS,25,LB,16,16,2,54,1,31,7,2,0,1,0,0,1.0,142,83,59,2,2,
14,Harrison Smith*\SmitHa00,MIN,32,S,15,15,1,10,0,10,7,1,0,0,0,0,3.0,114,83,31,3,5,
15,Kenny Moore*\MoorKe03,IND,26,CB,17,16,4,78,0,32,13,1,0,0,0,0,1.0,102,82,20,6,1,
16,Eric Kendricks\KendEr00,MIN,29,LB,15,15,2,22,0,22,4,0,0,1,2,0,5.0,143,81,62,8,5,
17,Alex Singleton\SingAl00,PHI,28,lb,16,8,1,29,1,29,4,1,0,1,0,0,0.0,137,81,56,4,2,
18,Jalen Thompson\ThomJa04,ARI,23,S,17,12,3,49,0,33,7,,,,,,0.0,121,79,42,3,2,
19,Fred Warner\WarnFr00,SFO,25,LB,16,16,0,0,0,0,4,1,0,3,0,0,0.5,137,79,58,7,3,
20,Logan Ryan\RyanLo00,NYG,30,DB,15,15,0,0,0,0,8,2,0,1,0,0,1.0,117,77,40,2,3,
21,Adrian Amos\AmosAd00,GNB,28,S,17,17,2,0,0,0,8,,,,,,0.0,93,75,18,0,0,
22,Jeremy Chinn\ChinJe00,CAR,23,S,16,16,1,0,0,0,5,1,0,1,16,0,1.0,107,75,32,6,5,
23,Jordan Hicks\HickJo00,ARI,29,MLB,17,17,0,0,0,0,5,1,0,2,0,0,4.0,116,75,41,7,5,
24,Derwin James*\JameDe00,LAC,25,S,15,15,2,20,0,15,5,3,0,0,0,0,2.0,118,75,43,7,7,
25,Darius Leonard*+\LeonDa00,IND,26,LB,16,16,4,12,0,7,8,8,1,3,31,0,0.0,122,75,47,4,3,
26,Tracy Walker\WalkTr01,DET,26,S,15,15,1,5,0,5,6,,,,,,1.0,108,74,34,3,1,
27,Quincy Williams\WillQu01,NYJ,25,LB,16,13,0,0,0,0,5,3,0,0,0,0,2.0,110,73,37,9,4,
28,Xavier Woods\WoodXa00,MIN,26,S,17,17,3,54,0,27,10,2,0,0,0,0,1.0,108,72,36,1,1,
29,Kamu Grugier-Hill\GrugKa00,HOU,27,LB,14,14,1,82,0,82,3,2,0,0,0,0,3.0,108,71,37,13,5,
30,Nick Bolton\BoltNi00,KAN,21,LB,16,12,0,0,0,0,3,0,0,1,86,1,0.0,112,70,42,11,3,
31,Demario Davis\DaviDe00,NOR,32,LB,16,16,0,0,0,0,7,,,,,,3.0,105,70,35,13,10,
32,Kyle Dugger\DuggKy00,NWE,25,DB,15,13,4,100,0,37,5,0,0,1,0,0,0.0,92,70,22,5,2,
33,Tremaine Edmunds\EdmuTr01,BUF,23,LB,15,15,1,4,0,4,4,,,,,,0.0,108,70,38,7,1,
34,Joe Schobert\SchoJo00,PIT,28,LB,16,15,1,23,0,23,6,1,0,0,0,0,0.0,112,70,42,2,1,
35,Isaiah Simmons\SimmIs00,ARI,23,LB,17,17,1,0,0,0,7,4,0,0,0,0,1.5,105,70,35,4,4,
36,Nasir Adderley\AddeNa00,LAC,24,S,15,15,0,0,0,0,5,1,0,1,0,0,0.5,99,69,30,3,2,
37,Anthony Walker\WalkAn01,CLE,26,,13,12,0,0,0,0,2,,,,,,1.0,113,69,44,2,1,
38,Ja'Whaun Bentley\BentJa00,NWE,25,LB,16,16,0,0,0,0,2,3,0,0,0,0,1.0,109,68,41,5,5,
39,Desmond King\KingDe01,HOU,27,DB,16,12,3,25,0,25,6,1,0,0,0,0,0.0,93,68,25,1,0,
40,Patrick Queen\QueePa00,BAL,22,LB,17,17,0,0,0,0,1,1,0,1,0,0,2.0,98,68,30,10,3,
41,Jessie Bates III\BateJe00,CIN,24,S,15,15,1,65,0,65,4,0,0,1,46,0,0.0,88,67,21,3,1,
42,Jayron Kearse\KearJa00,DAL,27,S,16,15,2,34,0,34,10,0,0,1,1,0,1.0,101,67,34,9,6,
43,Quandre Diggs*\DiggQu00,SEA,28,FS,17,17,5,68,0,29,7,,,,,,0.0,94,66,28,1,0,
44,Bryce Hall\HallBr02,NYJ,24,CB,17,17,0,0,0,0,16,,,,,,0.5,79,66,13,4,2,
45,Jordan Poyer+\PoyeJo00,BUF,30,S,16,16,5,87,0,26,9,,,,,,3.0,93,66,27,8,3,
46,Shaq Thompson\ThomSh01,CAR,27,LB,14,13,2,39,0,29,5,,,,,,2.0,104,65,39,9,6,
47,Johnathan Abram\AbraJo01,LVR,25,S,14,14,1,6,0,6,4,0,0,1,0,0,0.0,116,64,52,5,3,
48,Vonn Bell\BellVo00,CIN,27,S,16,16,1,15,0,15,8,3,0,1,0,0,0.5,97,64,33,5,1,
49,Tae Crowder\CrowTa00,NYG,24,LB,17,17,2,26,0,17,6,1,1,0,0,0,0.0,130,64,66,3,1,
50,T.J. Edwards\EdwaTJ02,PHI,25,LB,16,14,1,1,0,1,5,0,0,1,0,0,1.0,130,64,66,5,2,
51,Kendall Fuller\FullKe00,WAS,26,CB,16,16,1,0,0,0,16,,,,,,1.0,77,64,13,2,1,
52,Micah Parsons*+\ParsMi00,DAL,22,LB,16,16,0,0,0,0,3,3,0,0,0,0,13.0,84,64,20,20,30,
53,Taylor Rapp\RappTa00,LAR,24,S,17,17,4,31,0,18,6,0,0,1,0,0,1.5,94,64,30,2,3,
54,Budda Baker*\BakeBu00,ARI,25,S,17,17,3,101,0,77,7,0,0,1,0,0,2.0,98,63,35,6,3,
55,Lavonte David\DaviLa00,TAM,31,MLB,12,12,0,0,0,0,3,2,0,1,12,0,2.0,97,63,34,5,4,
56,Terrell Edmunds\EdmuTe00,PIT,24,S,17,17,2,15,0,15,6,,,,,,1.0,89,63,26,8,1,
57,Jordan Fuller\FullJo01,LAR,23,S,16,16,1,34,0,34,4,,,,,,0.0,113,63,50,1,0,
58,Jerome Baker\BakeJe00,MIA,25,LB,16,16,1,0,0,0,4,1,0,0,0,0,5.5,92,62,30,9,15,
59,Kamren Curl\CurlKa00,WAS,22,S,16,14,0,0,0,0,5,0,0,1,0,0,1.0,99,62,37,2,3,
60,Will Harris\HarrWi02,DET,26,S,17,17,0,0,0,0,4,1,0,0,0,0,0.5,93,62,31,0,1,
61,Myles Jack\JackMy00,JAX,26,,15,15,,,,,,,,,,,0.0,108,62,46,3,2,
