Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
49,Harrison Smith*\SmitHa00,MIN,30,SS,15,15,3,13,0,13,11,3,0,2,0,0,1.0,85,65,20,4,2,
50,Dre Greenlaw\GreeDr00,SFO,22,RLB,16,11,1,47,0,47,2,,,,,,1.0,92,64,28,3,2,
51,Erik Harris\HarrEr00,OAK,29,FS,16,14,3,145,2,59,8,,,,,,0.0,74,64,10,1,0,
52,Malcolm Jenkins\JenkMa99,PHI,32,FS/SS,16,16,0,0,0,0,8,4,0,1,0,0,2.5,81,63,18,6,9,
53,Tyrann Mathieu+\MathTy00,KAN,27,SS,16,16,4,70,0,35,12,,,,,,2.0,75,63,12,3,2,
54,Ha Ha Clinton-Dix\ClinHa00,CHI,27,FS/SS,16,16,2,96,1,59,5,0,0,2,1,0,0.0,78,62,16,0,0,
55,Taylor Rapp\RappTa00,LAR,22,SS,15,10,2,54,1,31,8,0,0,1,0,0,0.0,100,62,38,3,1,
56,Jamal Adams*+\AdamJa00,NYJ,24,SS,14,14,1,61,1,61,7,2,0,1,25,1,6.5,75,61,14,10,13,
57,Drue Tranquill\TranDr00,LAC,24,,15,3,0,0,0,0,1,,,,,,0.0,75,61,14,4,0,
58,Kevin Byard\ByarKe01,TEN,26,FS,16,16,5,79,0,28,9,,,,,,0.0,84,60,24,2,0,
59,Nick Vigil\VigiNi00,CIN,26,LILB,16,16,1,34,0,34,5,1,0,2,13,0,1.0,111,60,51,3,4,
60,Joe Haden*\HadeJo99,PIT,30,LCB,16,16,5,20,0,16,17,1,0,1,3,0,0.0,65,59,6,3,0,
61,Rashaan Melvin\MelvRa00,DET,30,CB/DB,13,12,0,0,0,0,11,,,,,,0.0,68,59,9,0,0,
62,Mark Barron\BarrMa00,PIT,30,il/LILB,15,9,1,0,0,0,3,0,0,1,22,0,3.0,82,58,24,4,4,
63,Jamie Collins\CollJa00,NWE,30,LLB,16,15,3,85,1,69,7,3,0,1,0,0,7.0,81,58,23,10,10,
64,Darryl Roberts\RobeDa00,NYJ,29,CB/RCB,13,10,1,13,0,13,6,,,,,,0.0,63,58,5,1,1,
65,Devin White\WhitDe02,TAM,21,LILB,13,13,1,5,0,5,3,3,0,4,112,2,2.5,91,58,33,4,5,
66,Justin Reid\ReidJu00,HOU,22,FS,15,15,2,55,0,37,5,0,0,1,0,0,0.0,78,57,21,1,1,
67,Jarrod Wilson\WilsJa00,JAX,25,FS,16,16,2,4,0,4,4,1,0,0,0,0,0.0,79,57,22,6,2,
68,Mack Wilson\WilsMa03,CLE,21,RLB,16,14,1,21,0,21,7,1,0,0,0,0,1.0,82,57,25,4,2,
69,Jonathan Bostic\BostJo00,WAS,28,RILB,16,16,1,26,0,26,2,,,,,,1.0,105,56,49,3,6,
70,Kevin King\KingKe01,GNB,24,RCB,15,14,5,54,0,39,15,1,0,0,0,0,1.0,66,56,10,3,1,
71,Nick Kwiatkoski\KwiaNi00,CHI,26,il/lilb,16,8,1,4,0,4,4,1,0,0,0,0,3.0,76,56,20,8,3,1
72,Charvarius Ward\WardCh01,KAN,23,RCB,16,16,2,10,0,10,10,1,0,0,0,0,0.0,74,56,18,0,0,
73,Trae Waynes\WaynTr00,MIN,27,CB/LCB,14,14,1,0,0,0,8,2,0,1,20,0,0.0,58,56,2,4,0,
74,Sean Lee\LeexSe99,DAL,33,LLB,16,13,1,25,0,25,4,,,,,,1.0,86,55,31,4,1,
75,Ricardo Allen\AlleRi00,ATL,28,SS,16,16,2,29,0,27,8,,,,,,0.0,85,54,31,4,0,
76,Anthony Barr\BarrAn00,MIN,27,,14,14,1,2,0,2,4,1,0,1,19,0,1.5,79,54,25,6,7,1
77,Carlton Davis\DaviCa02,TAM,23,LCB,14,14,1,0,0,0,19,1,0,1,6,0,0.0,60,54,6,3,0,
78,Benardrick McKinney\McKiBe00,HOU,27,LILB,14,14,0,0,0,0,3,1,0,2,1,0,1.0,101,54,47,4,4,
79,Xavier Rhodes*\RhodXa00,MIN,29,CB/RCB,15,15,0,0,0,0,6,1,,,,,0.0,63,54,9,5,0,
80,Eric Rowe\RoweEr00,MIA,27,SS,16,15,1,35,1,35,8,1,0,0,0,0,0.0,81,54,27,1,0,
81,Rock Ya-Sin\Ya-SRo00,IND,23,lcb,15,13,1,0,0,0,5,0,0,1,0,0,0.0,62,54,8,2,0,
82,Eli Apple\ApplEl00,NOR,24,CB/LCB,15,15,0,0,0,0,4,1,,,,,0.0,58,53,5,0,1,
83,Tre Boston\BostTr00,CAR,27,FS,16,16,3,20,0,20,11,,,,,,0.0,68,53,15,1,1,
84,Marlon Humphrey*+\HumpMa00,BAL,23,LCB,16,15,3,14,0,14,14,2,0,3,91,2,0.0,65,53,12,4,1,
85,Nicholas Morrow\MorrNi00,OAK,24,RLB,16,8,1,11,0,11,4,,,,,,0.0,73,53,20,2,4,
86,Khari Willis\WillKh00,IND,23,ss,14,9,0,0,0,0,1,,,,,,0.0,71,53,18,2,1,
87,Nathan Gerry\GerrNa00,PHI,24,RLB,16,12,2,51,1,51,5,0,0,1,0,0,2.5,78,52,26,4,5,
88,Vernon Hargreaves III\HargVe00,2TM,24,,15,11,1,15,1,15,6,0,0,1,2,0,0.0,61,52,9,1,0,
89,Mike Hilton\HiltMi01,PIT,25,db,16,8,1,1,0,1,11,1,0,1,0,0,1.5,65,52,13,6,5,
90,Danielle Hunter*\HuntDa01,MIN,25,LDE,16,16,,,,,,3,0,1,4,0,14.5,70,52,18,15,22,
91,David Mayo\MayoDa00,NYG,26,RILB,16,13,0,0,0,0,2,0,0,1,0,0,2.0,82,52,30,5,2,
92,Bradley McDougald\McDoBr01,SEA,29,SS,15,14,2,0,0,0,6,1,0,1,0,0,0.5,70,52,18,1,2,
93,Steven Nelson\NelsSt01,PIT,26,RCB,15,15,1,33,0,33,8,0,0,1,0,0,0.0,61,52,9,0,0,
94,Damien Wilson\WilsDa02,KAN,26,MLB,16,16,0,0,0,0,1,1,0,0,0,0,1.5,81,52,29,3,4,
95,Xavier Woods\WoodXa00,DAL,24,FS,15,15,2,38,0,29,5,2,0,0,0,0,0.0,77,52,25,1,0,
96,James Bradberry\BradJa00,CAR,26,CB/RCB,15,15,3,0,0,0,12,,,,,,1.0,65,51,14,1,1,
97,James Burgess\BurgJa01,NYJ,25,MLB,10,10,1,2,0,2,5,1,1,1,-4,0,0.5,80,51,29,8,1,1
98,Cameron Heyward*+\HeywCa01,PIT,30,LDE,16,16,0,0,0,0,6,1,0,1,0,0,9.0,83,51,32,11,23,
99,Anthony Hitchens\HitcAn00,KAN,27,LLB,15,15,0,0,0,0,1,1,0,0,0,0,2.0,88,51,37,4,4,
100,Eddie Jackson*\JackEd01,CHI,26,FS,16,16,2,18,0,14,5,1,0,1,3,0,1.0,60,51,9,5,0,
101,Alexander Johnson\JohnAl01,DEN,28,LILB,15,12,1,0,0,0,3,2,0,1,0,0,1.5,93,51,42,5,4,
102,Jabrill Peppers\PeppJa00,NYG,24,SS,11,11,1,32,1,32,5,3,0,0,0,0,0.0,76,51,25,5,2,
103,Kenny Vaccaro\VaccKe00,TEN,28,ss,16,16,1,2,0,2,5,,,,,,1.0,84,51,33,3,6,
104,Jimmie Ward\WardJi01,SFO,28,FS,13,13,0,0,0,0,8,,,,,,1.0,65,51,14,2,0,
105,Daryl Worley\WorlDa00,OAK,24,LCB,15,15,1,0,0,0,8,0,0,1,6,0,0.0,58,51,7,1,0,
106,Jaire Alexander\AlexJa00,GNB,22,LCB,16,16,2,37,0,37,17,1,0,1,0,0,0.0,58,50,8,2,0,
107,A.J. Bouye\BouyA.00,JAX,28,CB/RCB,14,14,1,25,0,25,8,,,,,,0.0,65,50,15,1,0,
108,Micah Hyde\HydeMi00,BUF,29,FS,16,16,1,0,0,0,2,2,0,0,0,0,0.0,72,50,22,1,1,
109,Jackrabbit Jenkins\JenkJa03,2TM,31,,15,14,5,84,0,62,16,,,,,,0.0,61,50,11,0,0,
110,Marcus Maye\MayeMa00,NYJ,26,FS,16,16,1,0,0,0,7,,,,,,0.0,65,50,15,1,0,
111,Kenny Moore\MoorKe03,IND,24,LCB,11,11,2,36,0,35,3,0,0,1,1,0,2.5,61,50,11,4,4,
112,Isaiah Oliver\OlivIs00,ATL,23,LCB,16,16,0,0,0,0,11,1,,,,,0.0,62,50,12,0,1,
113,Denzel Perryman\PerrDe00,LAC,27,MLB,14,10,1,0,0,0,1,1,0,0,0,0,0.0,68,50,18,5,0,
114,Germaine Pratt\PratGe00,CIN,23,ROLB,16,9,,,,,,,,,,,0.0,76,50,26,4,0,
115,Danny Trevathan\TrevDa00,CHI,29,LILB,9,9,0,0,0,0,1,1,0,0,0,0,1.0,70,50,20,2,4,
116,Jordan Whitehead\WhitJo03,TAM,22,FS,14,14,1,11,0,11,9,0,0,1,0,0,0.0,69,50,19,4,1,
117,Bud Dupree\DuprAl00,PIT,26,ROLB,16,16,0,0,0,0,3,4,0,1,0,0,11.5,68,49,19,16,17,
118,Chidobe Awuzie\AwuzCh00,DAL,24,LCB,16,16,1,0,0,0,14,,,,,,0.0,79,48,31,1,1,
119,Deandre Baker\BakeDe00,NYG,22,LCB,16,15,0,0,0,0,8,,,,,,0.0,61,48,13,2,0,
120,Ross Cockrell\CockRo00,CAR,28,CB/lcb,14,11,2,70,0,37,8,,,,,,0.0,62,48,14,3,0,
121,Kareem Jackson\JackKa99,DEN,31,SS,13,13,2,28,0,24,10,1,0,0,70,1,0.0,71,48,23,4,0,
122,Alec Ogletree\OgleAl00,NYG,28,IL/LILB,13,13,1,0,0,0,6,,,,,,1.0,80,48,32,4,3,
123,Bobby Okereke\OkerBo00,IND,23,RLB,16,8,0,0,0,0,2,2,1,1,0,0,1.0,65,48,17,2,1,
124,Patrick Onwuasor\OnwuPa00,BAL,27,lilb/ml,14,6,0,0,0,0,1,1,0,0,0,0,3.0,64,48,16,5,6,
125,Brian Poole\PoolBr01,NYJ,27,DB,14,10,1,15,1,15,5,1,0,0,0,0,0.0,59,48,11,4,5,1
126,Richard Sherman*\SherRi00,SFO,31,LCB,15,15,3,65,1,31,11,,,,,,0.0,61,48,13,2,0,
127,Tre'Davious White*+\WhitTr01,BUF,24,RCB,15,15,6,57,0,49,17,2,0,0,0,0,1.0,58,48,10,4,1,
128,Joey Bosa*\BosaJo00,LAC,24,LDE,16,16,,,,,,1,0,0,0,0,11.5,67,47,20,18,31,
129,Justin Coleman\ColeJu01,DET,26,RCB,16,11,1,55,0,55,13,3,0,1,0,0,0.0,54,47,7,0,1,
130,Dont'a Hightower*\HighDo01,NWE,29,MLB,15,15,0,0,0,0,4,0,0,1,26,1,5.5,71,47,24,8,13,
131,Mychal Kendricks\KendMy00,SEA,29,LLB,14,14,1,1,0,1,4,1,0,0,0,0,3.0,71,47,24,8,2,
132,A.J. Klein\KleiAJ00,NOR,28,RLB,15,15,1,14,1,14,2,1,0,0,0,0,2.5,69,47,22,5,5,
133,Jonathan Allen\AlleJo01,WAS,24,LDE,15,15,0,0,0,0,1,0,0,1,0,0,6.0,68,46,22,7,10,
134,Sam Hubbard\HubbSa00,CIN,24,LOLB,15,15,0,0,0,0,3,1,0,0,0,0,8.5,76,46,30,10,13,
135,Damontae Kazee\KazeDa00,ATL,26,FS,16,14,3,53,0,22,3,1,0,0,0,0,0.0,74,46,28,2,0,
136,Marshon Lattimore*\LattMa01,NOR,23,RCB,14,14,1,0,0,0,14,,,,,,0.0,57,46,11,1,0,
137,Devin McCourty\McCoDe99,NWE,32,FS,16,16,5,49,0,24,7,2,0,1,0,0,0.0,58,46,12,0,0,
138,Rodney McLeod\McLeRo00,PHI,29,SS,16,16,2,30,0,23,6,2,0,0,0,0,1.0,76,46,30,0,1,
139,Patrick Peterson\PetePa00,ARI,29,RCB,10,10,2,0,0,0,7,1,0,0,0,0,1.0,53,46,7,3,1,
140,Shaquil Barrett*\BarrSh00,TAM,27,ROLB,16,16,1,4,0,4,2,6,0,0,0,0,19.5,58,45,13,19,37,
141,Tramaine Brock\BrocTr00,2TM,31,,14,11,0,0,0,0,5,,,,,,0.0,50,45,5,4,2,
142,Chuck Clark\ClarCh00,BAL,24,FS,16,12,1,12,0,12,9,2,0,0,0,0,1.0,73,45,28,2,3,
143,Shaquill Griffin*\GrifSh00,SEA,24,LCB,14,14,0,0,0,0,13,,,,,,0.0,65,45,20,2,0,
144,Devon Kennard\KennDe00,DET,28,LLB,16,15,,,,,,1,0,2,13,1,7.0,58,45,13,9,15,
145,Montae Nicholson\NichMo00,WAS,24,FS,13,13,2,23,0,23,4,0,0,2,0,0,0.0,61,45,16,0,0,
146,Damarious Randall\RandDa00,CLE,27,FS/SS,11,11,0,0,0,0,6,,,,,,2.5,61,45,16,3,3,
147,Jalen Thompson\ThomJa04,ARI,21,SS,15,9,1,18,0,18,3,0,0,1,24,0,0.0,57,45,12,0,1,
148,Prince Amukamara\AmukPr00,CHI,30,CB/RCB,15,15,0,0,0,0,10,1,0,1,0,0,0.0,53,44,9,1,0,
149,Minkah Fitzpatrick*+\FitzMi00,2TM,23,,16,16,5,130,1,96,9,2,0,3,79,1,0.0,69,44,25,1,1,
150,Stephon Gilmore*+\GilmSt00,NWE,29,RCB,16,16,6,126,2,64,20,0,0,1,0,0,0.0,53,44,9,0,0,
151,Chris Harris Jr.\HarrCh01,DEN,30,CB/LCB,16,16,1,11,0,11,6,1,0,0,0,0,0.0,56,44,12,1,0,
152,Ronnie Harrison\HarrRo02,JAX,22,SS,14,14,2,66,0,35,9,0,0,1,0,0,2.0,71,44,27,2,1,
153,Neville Hewitt\HewiNe00,NYJ,26,RLB,12,12,2,13,0,9,5,,,,,,3.0,75,44,31,6,8,
154,Jalen Ramsey*\RamsJa00,2TM,25,,12,11,1,13,0,13,5,2,0,0,0,0,0.0,50,44,6,0,0,
155,Daniel Sorensen\SoreDa01,KAN,29,,16,3,2,6,0,6,4,,,,,,0.0,57,44,13,1,2,
156,Johnathan Joseph\JoseJo20,HOU,35,CB/LCB,14,11,1,0,0,0,13,,,,,,0.0,51,43,8,0,0,
157,Matt Judon*\JudoMa00,BAL,27,ROLB,16,16,,,,,,4,0,0,0,0,9.5,54,43,11,14,33,
158,Harold Landry\LandHa00,TEN,23,ROLB,16,16,1,0,0,0,1,1,0,2,0,0,9.0,68,43,25,12,14,
159,Haason Reddick\ReddHa00,ARI,25,lilb,16,5,0,0,0,0,6,0,0,1,3,0,1.0,76,43,33,6,4,
160,Sheldon Richardson\RichSh00,CLE,29,RDT,16,15,0,0,0,0,4,3,0,0,0,0,3.0,62,43,19,4,6,
161,Leighton Vander Esch\VandLe00,DAL,23,RLB,9,9,0,0,0,0,3,1,0,0,0,0,0.5,72,43,29,1,1,
162,Tre Herndon\HernTr00,JAX,23,LCB,16,14,3,0,0,0,13,,,,,,0.0,55,42,13,1,0,
163,Matthew Ioannidis\IoanMa01,WAS,25,RDE,16,15,0,0,0,0,1,,,,,,8.5,64,42,22,11,16,
164,Myles Jack\JackMy00,JAX,24,MLB,11,11,1,14,0,14,4,,,,,,0.5,66,42,24,3,2,
165,Chandler Jones*+\JoneCh03,ARI,29,LOLB,16,16,0,0,0,0,5,8,0,3,0,0,19.0,53,42,11,11,26,
166,Emmanuel Moseley\MoseEm00,SFO,23,RCB,16,9,1,3,0,3,8,,,,,,0.0,50,42,8,2,1,
167,Trayvon Mullen\MullTr00,OAK,22,RCB,16,10,1,0,0,0,10,,,,,,0.0,50,42,8,0,0,
168,Darnell Savage Jr.\SavaDa00,GNB,22,FS,14,14,2,37,0,28,5,2,0,0,0,0,0.0,55,42,13,1,1,
169,Juan Thornhill\ThorJu00,KAN,24,FS,16,16,3,46,1,46,5,,,,,,0.0,58,42,16,0,0,
170,Andrew Adams\AdamAn00,TAM,27,SS,14,11,1,21,0,21,3,1,0,0,0,0,0.0,46,41,5,3,0,
171,Brandon Carr\CarrBr99,BAL,33,CB/RCB,16,16,0,0,0,0,6,,,,,,2.0,49,41,8,4,7,
